#TYPE System.TimeSpan;;;;;;;;;;;;;;
Ticks;Days;Hours;Milliseconds;Minutes;Seconds;TotalDays;TotalHours;TotalMilliseconds;TotalMinutes;TotalSeconds;;;;
6444040;0;0;644;0;0;7,46E-06;0,000179001;644,404;0,010740067;0,644404;;0,520829794;0,018355713;0,035977197
5369001;0;0;536;0;0;6,21E-06;0,000149139;536,9001;0,008948335;0,5369001;;;;
5170550;0;0;517;0;0;5,98E-06;0,000143626;517,055;0,008617583;0,517055;;;;
5171570;0;0;517;0;0;5,99E-06;0,000143655;517,157;0,008619283;0,517157;;;;
5199181;0;0;519;0;0;6,02E-06;0,000144422;519,9181;0,008665302;0,5199181;;;;
5149759;0;0;514;0;0;5,96E-06;0,000143049;514,9759;0,008582932;0,5149759;;;;
5189077;0;0;518;0;0;6,01E-06;0,000144141;518,9077;0,008648462;0,5189077;;;;
5164112;0;0;516;0;0;5,98E-06;0,000143448;516,4112;0,008606853;0,5164112;;;;
5184716;0;0;518;0;0;6,00E-06;0,00014402;518,4716;0,008641193;0,5184716;;;;
5162271;0;0;516;0;0;5,97E-06;0,000143396;516,2271;0,008603785;0,5162271;;;;
5214772;0;0;521;0;0;6,04E-06;0,000144855;521,4772;0,008691287;0,5214772;;;;
5140836;0;0;514;0;0;5,95E-06;0,000142801;514,0836;0,00856806;0,5140836;;;;
5230021;0;0;523;0;0;6,05E-06;0,000145278;523,0021;0,008716702;0,5230021;;;;
5173299;0;0;517;0;0;5,99E-06;0,000143703;517,3299;0,008622165;0,5173299;;;;
5204384;0;0;520;0;0;6,02E-06;0,000144566;520,4384;0,008673973;0,5204384;;;;
5121000;0;0;512;0;0;5,93E-06;0,00014225;512,1;0,008535;0,5121;;;;
5209146;0;0;520;0;0;6,03E-06;0,000144699;520,9146;0,00868191;0,5209146;;;;
5152260;0;0;515;0;0;5,96E-06;0,000143118;515,226;0,0085871;0,515226;;;;
5219954;0;0;521;0;0;6,04E-06;0,000144999;521,9954;0,008699923;0,5219954;;;;
5086845;0;0;508;0;0;5,89E-06;0,000141301;508,6845;0,008478075;0,5086845;;;;
5230749;0;0;523;0;0;6,05E-06;0,000145299;523,0749;0,008717915;0,5230749;;;;
5175629;0;0;517;0;0;5,99E-06;0,000143767;517,5629;0,008626048;0,5175629;;;;
5187991;0;0;518;0;0;6,00E-06;0,000144111;518,7991;0,008646652;0,5187991;;;;
5164404;0;0;516;0;0;5,98E-06;0,000143456;516,4404;0,00860734;0,5164404;;;;
5202857;0;0;520;0;0;6,02E-06;0,000144524;520,2857;0,008671428;0,5202857;;;;
5182480;0;0;518;0;0;6,00E-06;0,000143958;518,248;0,008637467;0,518248;;;;
5230948;0;0;523;0;0;6,05E-06;0,000145304;523,0948;0,008718247;0,5230948;;;;
5141760;0;0;514;0;0;5,95E-06;0,000142827;514,176;0,0085696;0,514176;;;;
5204954;0;0;520;0;0;6,02E-06;0,000144582;520,4954;0,008674923;0,5204954;;;;
5139975;0;0;513;0;0;5,95E-06;0,000142777;513,9975;0,008566625;0,5139975;;;;
5207386;0;0;520;0;0;6,03E-06;0,00014465;520,7386;0,008678977;0,5207386;;;;
5140824;0;0;514;0;0;5,95E-06;0,000142801;514,0824;0,00856804;0,5140824;;;;
5182091;0;0;518;0;0;6,00E-06;0,000143947;518,2091;0,008636818;0,5182091;;;;
5149924;0;0;514;0;0;5,96E-06;0,000143053;514,9924;0,008583207;0,5149924;;;;
5192454;0;0;519;0;0;6,01E-06;0,000144235;519,2454;0,00865409;0,5192454;;;;
5127687;0;0;512;0;0;5,93E-06;0,000142436;512,7687;0,008546145;0,5127687;;;;
5211451;0;0;521;0;0;6,03E-06;0,000144763;521,1451;0,008685752;0,5211451;;;;
5166497;0;0;516;0;0;5,98E-06;0,000143514;516,6497;0,008610828;0,5166497;;;;
5235650;0;0;523;0;0;6,06E-06;0,000145435;523,565;0,008726083;0,523565;;;;
5152552;0;0;515;0;0;5,96E-06;0,000143126;515,2552;0,008587587;0,5152552;;;;
5215742;0;0;521;0;0;6,04E-06;0,000144882;521,5742;0,008692903;0,5215742;;;;
5164249;0;0;516;0;0;5,98E-06;0,000143451;516,4249;0,008607082;0,5164249;;;;
5210222;0;0;521;0;0;6,03E-06;0,000144728;521,0222;0,008683703;0,5210222;;;;
5091548;0;0;509;0;0;5,89E-06;0,000141432;509,1548;0,008485913;0,5091548;;;;
5163036;0;0;516;0;0;5,98E-06;0,000143418;516,3036;0,00860506;0,5163036;;;;
5195801;0;0;519;0;0;6,01E-06;0,000144328;519,5801;0,008659668;0,5195801;;;;
5213146;0;0;521;0;0;6,03E-06;0,00014481;521,3146;0,008688577;0,5213146;;;;
5170904;0;0;517;0;0;5,98E-06;0,000143636;517,0904;0,008618173;0,5170904;;;;
5214682;0;0;521;0;0;6,04E-06;0,000144852;521,4682;0,008691137;0,5214682;;;;
5190510;0;0;519;0;0;6,01E-06;0,000144181;519,051;0,00865085;0,519051;;;;
