PM;
5754880;7284189,867
6287360;
6176768;
7622656;
7467008;
7749632;
3149824;
14245888;
7622656;
17362944;
3878912;
7622656;
3469312;
17629184;
7503872;
7622656;
1499136;
7626752;
1404928;
389120;
7626752;
9822208;
356352;
7688192;
12996608;
3870720;
7626752;
7688192;
13123584;
5640192;
7626752;
7688192;
13385728;
7626752;
7688192;
11108352;
13451264;
12775424;
7626752;
7688192;
18083840;
3805184;
7626752;
7688192;
14581760;
7626752;
5296128;
7688192;
14843904;
7626752;
6647808;
7688192;
14848000;
13590528;
7626752;
7688192;
19107840;
7626752;
3072000;
12546048;
7688192;
15372288;
16224256;
7626752;
22917120;
16089088;
7626752;
19959808;
16760832;
7626752;
17666048;
7626752;
14348288;
17657856;
7626752;
17928192;
11825152;
9265152;
7626752;
17924096;
5931008;
7626752;
18190336;
356352;
364544;
7680000;
7770112;
13094912;
9699328;
7680000;
7770112;
13238272;
12886016;
1282048;
7680000;
16510976;
7274496;
7680000;
16773120;
10780672;
7680000;
16777216;
6598656;
7680000;
17154048;
5644288;
7680000;
17162240;
5619712;
7680000;
5005312;
17416192;
7680000;
17424384;
4997120;
7680000;
17682432;
4726784;
7680000;
17686528;
4296704;
7680000;
17944576;
3878912;
7680000;
17952768;
3076096;
15867904;
7680000;
7630848;
7745536;
14344192;
331776;
13438976;
7630848;
16855040;
3903488;
7630848;
3076096;
16855040;
15806464;
7630848;
17645568;
5328896;
5324800;
7630848;
17645568;
7630848;
17907712;
4734976;
7630848;
4288512;
17907712;
7630848;
18169856;
4636672;
7630848;
7495680;
7622656;
13819904;
7761920;
4612096;
7622656;
5763072;
14348288;
7761920;
12877824;
7622656;
16273408;
7761920;
12894208;
2695168;
7622656;
14344192;
7761920;
7622656;
4694016;
14872576;
7761920;
7622656;
7147520;
14606336;
7761920;
12935168;
7622656;
16531456;
7622656;
9678848;
16797696;
6283264;
7622656;
17784832;
5873664;
7622656;
18051072;
7622656;
17059840;
5013504;
7622656;
18313216;
4726784;
7622656;
5705728;
17321984;
6246400;
7622656;
18575360;
7622656;
17588224;
5349376;
4997120;
7622656;
18837504;
7622656;
17850368;
4698112;
7622656;
18112512;
3870720;
7622656;
18112512;
4284416;
7704576;
7770112;
14163968;
5410816;
7704576;
7770112;
12935168;
16547840;
7704576;
16556032;
11296768;
262144;
14426112;
7704576;
16846848;
23339008;
7704576;
16871424;
18124800;
5357568;
4722688;
4710400;
5017600;
7741440;
7712768;
13041664;
5726208;
7741440;
13426688;
7712768;
16502784;
7741440;
10821632;
7712768;
13328384;
7741440;
3137536;
7712768;
11620352;
14573568;
3084288;
7741440;
17879040;
4747264;
7741440;
18141184;
4603904;
7741440;
18141184;
3538944;
7405568;
7741440;
13381632;
7626752;
15413248;
7749632;
7626752;
15151104;
16592896;
1363968;
7446528;
7626752;
1421312;
17494016;
17907712;
7782400;
13795328;
4984832;
7634944;
7782400;
6381568;
13791232;
7634944;
7782400;
446464;
14315520;
7634944;
12906496;
24858624;
16670720;
16769024;
15437824;
16769024;
5652480;
17035264;
7352320;
3801088;
18083840;
16252928;
9956440,9;
